Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"St. Pauli Girl","Beer Wall > Bubba City > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106310004/st-pauli-girl,3.0,-1,Sport,5.10b/c,1,50,38.09027,-81.08718
"Monahiki Elia","Grande Grotta > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/106804801/monahiki-elia,3.5,-1,Sport,5.10b,1,80,37.00118,26.94297
Boltaneer,"Super Slab > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818720/boltaneer,3.0,-1,Sport,5.10a,1,85,36.39224,-106.19574
"Luscious Babes","B. E.M.J. Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106964844/luscious-babes,2.9,-1,Sport,5.8-,1,,37.50467,-88.68928
"Out of Harm's Way","(p) Spiderman Buttress > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106063725/out-of-harms-way,2.9,-1,"Trad, Sport",5.8,1,90,44.36777,-121.14507
"Dirt Gator","The Cobra > Lake Point > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107755218/dirt-gator,3.0,-1,Sport,5.10b,1,70,44.1572,-107.2334
"Gracie's Eight","The Far East > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106029776/gracies-eight,3.0,-1,Sport,5.8+,1,55,36.00394,-93.28377
"Casey at the Bat","Easy Street > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/105838333/casey-at-the-bat,2.9,-1,Sport,5.10b,1,100,34.12531,-118.92429
"Looking for Lust","Annadonia Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105825151/looking-for-lust,2.9,-1,Sport,5.9,1,95,44.56927,-92.52108
Minienticer,"The Minimum Crag > Right Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/105989461/minienticer,2.9,-1,Sport,5.9,1,80,39.5622,-111.6906
"Lithuanian Princess","Chaos > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110334995/lithuanian-princess,2.9,-1,Sport,5.10a,1,40,37.64193,-83.68041
Homegrown,"The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106562237/homegrown,2.9,-1,Sport,5.10a,1,,36.0971,-81.7719
Skimbleshanks,"The Catslab > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749530/skimbleshanks,2.9,-1,Sport,5.8-,1,130,39.7428,-105.4043
"Tuff Shed (aka B&C)","The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/107025294/tuff-shed-aka-bc,2.9,-1,Sport,5.9+,1,70,38.6331,-105.2297
"Chicken Bone","Parking Lot > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106101924/chicken-bone,2.9,-1,"Trad, Sport, TR",5.8,1,90,36.33961,-80.48101
"One Dead Teardrop","Wonder Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106649898/one-dead-teardrop,3.1,-1,Sport,5.9,1,90,25.95004,-100.47694
"The Horny Thing","Schoolroom Area > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/107633493/the-horny-thing,2.9,-1,Sport,5.10b,1,90,39.5565,-111.6858
Enterprise,"Contest Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105824687/enterprise,2.9,-1,Sport,5.9+,1,70,38.62148,-105.23217
"Silver Bullet","Winterfest Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105749830/silver-bullet,2.9,-1,Sport,5.10,1,70,39.76953,-105.22006
"Orange Oswald","Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918472/orange-oswald,2.9,-1,Sport,5.10a,1,70,38.2422,-80.83949
Dolt,"The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/105931527/dolt,2.9,-1,Sport,5.10a,1,,43.80547,-71.84373
Narcissism,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099676/narcissism,2.9,-1,Sport,5.10b,1,60,35.18235,-85.67386
cTr,"North and West Faces > Challenge Buttress > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105980558/ctr,2.9,-1,Sport,5.10b,1,90,40.62207,-111.74571
"Groove Tube","The Alcove > The Pool Wall > Ouray vicinity (rock) > Colorado",https://www.mountainproject.com/route/105957345/groove-tube,2.9,-1,Sport,5.9,1,90,38.03114,-107.67124
"Scurvy Dog","Pirate's Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818432/scurvy-dog,2.9,-1,Sport,5.9,1,60,36.39247,-106.19592
"Light on the Path","(g) Morning Glory Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789064/light-on-the-path,2.9,-1,Sport,5.10a,1,60,44.36716,-121.14353
"Zen Fen","Zen Garden > Right Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/105857281/zen-fen,2.9,-1,Sport,5.9,1,60,39.5632,-111.6908
"Master Marley","D. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106179174/master-marley,2.9,-1,Sport,5.10a,1,40,37.50701,-88.68338
Babushka,"Warm Up Wall > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105896621/babushka,2.9,-1,Sport,5.8,1,80,37.51273,-118.57124
"Bitter Ray of Sunshine","The Great Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106451181/bitter-ray-of-sunshine,2.9,-1,Sport,5.10b,1,55,37.73288,-83.63751
"Uncomfortably Dumb","Horseshoe Canyon > Cave Valley (aka Auburn Quarry) > Auburn SRA > Auburn and Grass Valley > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735125/uncomfortably-dumb,2.9,-1,Sport,5.10b,1,80,38.91522,-121.01422
"He She","Gong Show Wall > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106807095/he-she,3.6,-1,Sport,5.10b,1,130,37.5096,-118.7179
"59"" DrillBitch","Johnny's Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106614611/59-drillbitch,2.9,-1,Sport,5.10a,1,45,37.72961,-83.63208
"Bush Administration","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105762957/bush-administration,2.9,-1,Sport,5.10b/c,1,110,39.7432,-105.2991
"I Can't Believe It","Slabbage Patch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105864016/i-cant-believe-it,3.3,-1,Sport,5.10a,1,75,42.07858,-113.71532
Kingpin,"Pictograph Wall > Left Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/105855762/kingpin,2.9,-1,Sport,5.10a,1,80,39.5557,-111.6869
"Step Child","{10} Mordor > Ozone > Southwest Cascades > Washington",https://www.mountainproject.com/route/106439428/step-child,2.9,-1,Sport,5.10a,1,65,45.5672,-122.2077
"All He's Ever Gonna Have","The Aspen Glade > Aspen Glade > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/110803176/all-hes-ever-gonna-have,3.2,-1,Sport,5.10a,1,60,42.5925,-108.7434
"Manifest Destiny","Civilization Crag > 03-First Pullout (Calico I) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/106718688/manifest-destiny,2.9,-1,Sport,5.9+,1,70,36.14543,-115.42639
"Peace Treaty","Good Medicine Area > Ruth Lake > Uinta Mountains > Utah",https://www.mountainproject.com/route/105741134/peace-treaty,2.9,-1,Sport,5.9,1,60,40.73091,-110.87835
"The Outsiders","(g) Morning Glory Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105820726/the-outsiders,2.9,-1,Sport,5.9,1,80,44.36716,-121.14353
Battleship,"Tinker Toys > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105842072/battleship,2.9,-1,"Sport, TR",5.10b/c,1,30,40.265,-111.6223
"Hot Stuff","Wall of the '90s > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105749551/hot-stuff,2.9,-1,Sport,5.10,1,135,39.7388,-105.3222
"Off the Couch","Middle Area > The Peak’s Crag > San Francisco Peaks > Flagstaff Crags > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535107/off-the-couch,3.1,-1,Sport,5.10,1,70,35.30686,-111.70529
"5th of July","High Wire Crag > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105748271/5th-of-july,2.9,-1,Sport,5.9,1,,39.7378,-105.3196
"Don't Touch the Monkey","Orangutan Wall > Left Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/107302898/dont-touch-the-monkey,2.9,-1,Sport,5.9,1,85,39.5538,-111.6885
"Freddie Prince Jr","Frog Prince > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105972790/freddie-prince-jr,2.9,-1,Sport,5.10a,1,,34.23008,-107.91611
"One Armed Bandit","Claim Jumper Wall > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105822598/one-armed-bandit,2.9,-1,Sport,5.10a,1,70,34.3079,-116.8786
"Dirty Deeds (aka Silver Streak)","French's Dome > Mt. Hood > Oregon",https://www.mountainproject.com/route/105835093/dirty-deeds-aka-silver-streak,2.9,-1,Sport,5.10b,1,60,45.39719,-121.85985
"The Lost Bolt","First Practice Wall > Logan > Wasatch Range > Utah",https://www.mountainproject.com/route/106018105/the-lost-bolt,2.9,-1,Sport,5.7,1,100,41.7445,-111.7579
AWOL,"Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880940/awol,2.9,-1,Sport,5.10a,1,50,37.7334,-83.6591
Bananarama,"The Tall Wall > Western Wall Area > Alabama Hills > Lone Pine Area > Sierra Eastside > California",https://www.mountainproject.com/route/105897768/bananarama,2.9,-1,Sport,5.8,1,105,36.6071,-118.1328
"The Upheaval","E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105963143/the-upheaval,2.9,-1,Sport,5.9,1,85,38.05426,-81.06106
"Satan's Wagon","The North Side > The Feathers > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/105793707/satans-wagon,2.9,-1,Sport,5.10b,1,,47.0277,-119.96449
Paradise,"Banana Belt > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105897030/paradise,3.0,-1,Sport,5.9,1,115,37.51085,-118.56962
"Strong Arming the Little Guy","Orange Oswald Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.9,-1,Sport,5.10b,1,70,38.2422,-80.83949
"Union Dues","Industrial Wall > Coalpit Gulch > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105844894/union-dues,3.3,-1,Sport,5.10b,1,70,40.567,-111.73761
Misdemeanor,"Center Section > The Meadows > *Rumney > New Hampshire",https://www.mountainproject.com/route/106033945/misdemeanor,2.9,-1,Sport,5.10b,1,85,43.80231,-71.83173
"Monkey Duodenum","Orangutan Wall > Left Fork > Maple Canyon > Utah",https://www.mountainproject.com/route/105841699/monkey-duodenum,2.9,-1,Sport,5.9,1,100,39.5538,-111.6885
"Busch Gardens","Little Eiger > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105762975/busch-gardens,2.9,-1,Sport,5.10,1,100,39.7432,-105.2991
"Back to Bucket Country","Beehive Buttress > Vedauwoo > Wyoming",https://www.mountainproject.com/route/107579752/back-to-bucket-country,3.0,-1,Sport,5.8-,1,90,41.2285,-105.4085
"Curious George","George > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741353/curious-george,3.0,-1,Sport,5.8,1,95,40.2656,-111.6217
"Root Canal","River Road Dihedrals > River Road > Moab Area > Utah",https://www.mountainproject.com/route/106777929/root-canal,2.8,-1,Sport,5.8,1,70,38.60702,-109.54061
"Gimp and Wheezer","Walls Of Moria > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106049204/gimp-and-wheezer,3.2,-1,Sport,5.10a,1,65,36.00196,-93.29396
"Needles and Pins","Large Roof Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826285/needles-and-pins,2.9,-1,Sport,5.10a,1,55,44.56992,-92.52484
Machete,"Sunnyside > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106599147/machete,2.9,-1,Sport,5.10b,1,65,37.72324,-83.62607
"Block Party","Mural Wall > The Gallery > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105755851/block-party,2.9,-1,Sport,5.10a,1,,38.6197,-105.2357
"Yasmine Bleeth","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724492/yasmine-bleeth,2.8,-1,Sport,5.9,1,90,34.06957,-116.16993
"Leggo My Eggo","The Egg > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740990/leggo-my-eggo,2.8,-1,Sport,5.10a,1,150,40.57405,-111.76875
"Over Easy","Seismic Wall A.K.A. Maggie's Wall > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/105976833/over-easy,2.8,-1,Sport,5.9,1,40,30.24535,-97.79986
Chupacabra,"The Wild > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106211512/chupacabra,2.8,-1,Sport,5.10a,1,40,40.2646,-111.6122
"High Heeled Tittty Twister","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105754630/high-heeled-tittty-twister,2.9,-1,Sport,5.10-,1,75,38.63213,-105.22238
"27 Tons","The Dark Side > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106004015/27-tons,2.9,-1,Sport,5.10a,1,85,38.6281,-105.2239
Tava,"Solar Slab > Red Rock Canyon Open Space > Colorado Springs > Colorado",https://www.mountainproject.com/route/105874342/tava,2.9,-1,Sport,5.10a/b,1,75,38.845,-104.8823
Ryanosaurus,"Land Before Time Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106968604/ryanosaurus,2.8,-1,Sport,5.9,1,50,37.72435,-83.63078
"Deetle Dumps","A. Royal Arches Wall > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243152/deetle-dumps,2.9,-1,Sport,5.8,1,,37.5056,-88.68207
"Gimme a Clown","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106736089/gimme-a-clown,2.8,-1,Sport,5.9,1,70,38.2338,-80.8552
"Shoot at Will","Tombstone Pit > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105874831/shoot-at-will,2.8,-1,Sport,5.8,1,45,34.3079,-116.8782
"Delay of Game","Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740945/delay-of-game,2.8,-1,Sport,5.8,1,160,42.08342,-113.72294
"Power Station","The Power Wall > Century Lake Area > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106000584/power-station,2.8,-1,Sport,5.10b,1,50,34.098,-118.734
Carlin,"The Funny Face > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/106231707/carlin,2.8,-1,Sport,5.10a,1,80,39.71141,-107.69251
"Endless Bliss","Gun Show > Exit 38: Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798597/endless-bliss,2.8,-1,Sport,5.9,1,140,47.42952,-121.62058
"Speedway Boogie","Leda > Tennessee",https://www.mountainproject.com/route/105890847/speedway-boogie,2.8,-1,Sport,5.7+,1,60,35.2356,-85.2265
"Isle of You","Trad Rock > Isle of You > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738602/isle-of-you,2.8,-1,Sport,5.10a,1,170,31.87484,-110.01472
Strongman,"The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105977059/strongman,2.8,-1,Sport,5.9+,1,50,36.00881,-93.29549
"Red Eye","(3) Red Wall > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/106206829/red-eye,3.0,-1,Sport,5.10,1,60,45.53999,-122.37622
Bethel,"Johnny's Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106614620/bethel,2.8,-1,Sport,5.10a,1,50,37.72961,-83.63208
Lumina,"The Dark Side > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752422/lumina,2.8,-1,Sport,5.9,1,,38.6281,-105.2239
Abitafun,"Pub Wall > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105969567/abitafun,2.8,-1,Sport,5.9,1,105,37.51096,-118.57058
"Merry Maids","Middle Ice Caves (Potato Routes) > Ice Cave Walls > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753394/merry-maids,2.8,-1,Sport,5.10a,1,,39.71112,-107.69235
"I Love the Big Top","Circus Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106242038/i-love-the-big-top,2.8,-1,Sport,5.9,1,,44.10072,-107.28884
"Swiss Cheese","Hillbilly Routes > Hillbilly Hollow > Wisconsin",https://www.mountainproject.com/route/105863293/swiss-cheese,2.8,-1,"Sport, TR",5.8,1,40,43.9763,-89.5005
"Push to Open","The Dollar Store > The Benches > The Emeralds > Bowman/Emeralds > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/108284980/push-to-open,2.8,-1,Sport,5.10a,1,60,39.325,-120.64942
"Community Service","Main Wall > La Milagrosa Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105895574/community-service,2.8,-1,Sport,5.10a,1,,32.29825,-110.71317
Spinner,"Johnny's Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106614626/spinner,2.8,-1,Sport,5.10b,1,50,37.72961,-83.63208
"Oscar de la Cholla","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105755515/oscar-de-la-cholla,2.8,-1,Sport,5.9,1,75,38.63213,-105.22238
"Buffalo Soldier","Cowboy Poetry > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106544067/buffalo-soldier,2.8,-1,Sport,5.10b,1,50,42.58499,-108.73151
"I Remember Drooling","Amazonia > Exit 38: Mt Washington > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107283413/i-remember-drooling,2.9,-1,Sport,5.10b,1,65,47.43994,-121.67544
"Euro-trash Girl","Sector Shinto > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106002969/euro-trash-girl,2.8,-1,Sport,5.10b,1,80,44.14653,-107.25807
"Flak Jacket","Bridge Area > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/106025644/flak-jacket,2.8,-1,Sport,5.10a,1,45,39.555,-111.6832
"Old Milwaukee Road","Deception Wall > Exit 38: Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108330417/old-milwaukee-road,3.0,-1,Sport,5.10a,1,98,47.43538,-121.66052
"Stickin' It To The Man","Winter Warmer Area > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/106087318/stickin-it-to-the-man,2.9,-1,Sport,5.10a,1,95,39.7684,-105.218
"Vertical Alluvium","West Side > Lemon Reservoir > Durango > Colorado",https://www.mountainproject.com/route/106240728/vertical-alluvium,3.1,-1,"Trad, Sport",5.10a,1,80,37.46485,-107.67834
"The Yeti","Hobbit Caves > Logan > Wasatch Range > Utah",https://www.mountainproject.com/route/107174280/the-yeti,2.9,-1,Sport,5.9,1,50,41.7804,-111.635
Iguanarama,"Amazonia > Exit 38: Mt Washington > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106006900/iguanarama,3.0,-1,Sport,5.10a,1,65,47.43994,-121.67544
"Who Let the Snakes Out","B. Snakes Roof > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106679441/who-let-the-snakes-out,3.3,-1,Sport,5.10b,1,,37.506,-88.68261
"High Plains Drifter","The Western Wall > Western Wall Area > Alabama Hills > Lone Pine Area > Sierra Eastside > California",https://www.mountainproject.com/route/106911145/high-plains-drifter,3.5,-1,Sport,"5.10b PG13",1,100,36.60623,-118.13261
"Temporary Like Achilles","Redgarden - Roof Routes > Redgarden Wall > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105763785/temporary-like-achilles,2.9,-1,"Trad, Sport",5.10b,1,,39.93112,-105.2846
"I Can Hear You Now!","Transmitter Tower > Buena Vista > Colorado",https://www.mountainproject.com/route/105854269/i-can-hear-you-now,2.9,-1,Sport,5.9,1,60,38.88771,-106.1382
Evergreen,"Pine Tree Rock > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105820050/evergreen,3.7,-1,Sport,5.9,1,140,43.88486,-103.46835
"Call it a Knight","Ed and Terry Wall > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105931238/call-it-a-knight,3.4,-1,"Sport, TR",5.10a,1,110,40.2645,-111.6232
"Drop Zone","Fall Wall > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751000/drop-zone,2.9,-1,"Sport, TR",5.9+,1,,41.18478,-105.37868
"The Convict","The Maze  (aka Amaze-ing) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/109253292/the-convict,3.4,-1,Sport,5.9-,1,,41.18017,-105.32848
"Shere Khan (aka A Fraction of the Action)","Tiger Stripe Wall > 03-First Pullout (Calico I) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732635/shere-khan-aka-a-fraction-of-the-action,2.9,-1,Sport,5.10a,1,120,36.14801,-115.43051
"Show Us Your Tits","Emergency Room > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105911150/show-us-your-tits,3.6,-1,Sport,5.10b,1,90,37.51742,-118.57156
"Kiss of the Crowbar","Eastern Block > Interstate Park > Exit 38: Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106533648/kiss-of-the-crowbar,2.8,-1,Sport,5.7,1,75,47.43073,-121.62087
"Flake Fest","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/108077894/flake-fest,3.6,-1,Sport,5.10b,1,75,45.5944,-110.5583
"Tombstone Shadow","Tombstone Pit > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105893195/tombstone-shadow,3.0,-1,Sport,5.10b,1,40,34.3079,-116.8782
"Jawa Jam","Tatooine > Galaxy Area > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106405078/jawa-jam,3.3,-1,Sport,5.9,1,115,40.26544,-111.61291
"Vertical Epic","Stone Wall > Pinnacles North > Holcomb Valley Pinnacles > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/105838113/vertical-epic,3.4,-1,Sport,5.10a,1,70,34.31131,-116.87943
Browncoat,"Eavesdown Docks > Serenity > American Fork Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/108326379/browncoat,2.9,-1,Sport,5.10b,1,40,40.45095,-111.66614
"Tall Dollar","Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107527929/tall-dollar,3.2,-1,Sport,5.10b,1,100,37.52751,-118.57443
"One Summer's Eve","Garden of Eden Wall (Pool Area) > Cascade Canyon > Durango > Colorado",https://www.mountainproject.com/route/105829529/one-summers-eve,3.0,-1,Sport,5.9,1,75,37.65774,-107.80962
"Groovy Marcia!","I. The Ranch > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061431/groovy-marcia,3.3,-1,Sport,5.9,1,45,37.49992,-88.68726
Demanda,"Spaghetti Western Wall > Upper East Fork (UEF) > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106383132/demanda,3.1,-1,Sport,5.9+,1,80,35.8198,-106.5203
"La Maudite","Outer Gates > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105761103/la-maudite,2.9,-1,Sport,5.9+,1,100,40.45293,-105.369
"Lanterne Rouge","Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/109609554/lanterne-rouge,3.1,-1,Sport,5.9,1,80,37.64552,-83.71831
"Bucket Slave","Penitente - Entrance Area > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753421/bucket-slave,2.8,-1,"Trad, Sport",5.10b,1,,37.84401,-106.28755
"Permanent Income Hypothesis","Right Side Gully > The Fortress > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/105906865/permanent-income-hypothesis,3.4,-1,Sport,5.9,1,180,34.58355,-119.26301
"Extreme Caffeine","The Dilithium Crystal > Inner Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105908036/extreme-caffeine,3.0,-1,Sport,5.10b,1,90,37.52004,-118.57216
"Hoffa Finger","Industrial Wall > Coalpit Gulch > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740636/hoffa-finger,2.9,-1,"Sport, TR",5.9+,1,80,40.567,-111.73761
"Holy Wall","South/East side > The Overlook > White Rock > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/105940693/holy-wall,2.8,-1,"Sport, TR",5.10a,1,55,35.82733,-106.17868
"The Sundance","The Prow > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106886941/the-sundance,3.5,-1,Sport,5.10b,1,80,44.29596,-103.89038
"Solar Flare","Solar Slab > Red Rock Canyon Open Space > Colorado Springs > Colorado",https://www.mountainproject.com/route/105841903/solar-flare,3.1,-1,"Trad, Sport",5.9+,1,,38.845,-104.8823
"Shark Bait","Sharks Fin > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714914/shark-bait,2.9,-1,Sport,5.8,1,90,43.88628,-103.4668
"Snapping Pussy Doll","Triple Play Cliff > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106142383/snapping-pussy-doll,2.9,-1,Sport,5.10a,1,50,37.52319,-118.57505
"Necessary Evil","Evil Pillar > The Cemetery > Horsemen's Center > Apple Valley Crags > High Desert > California",https://www.mountainproject.com/route/105976620/necessary-evil,3.5,-1,Sport,5.10b,1,50,34.4815,-117.1291
"True Grit","Grit Wall > Nine Mile Hill > Unaweep Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/107006250/true-grit,3.1,-1,Sport,5.8,1,55,38.9104,-108.4935
